FavoriteColor	FavoriteMusicGenre	FavoriteBeverage	FavoriteSoftDrink	Gender
Cool	Rock	Vodka	7UP/Sprite	F
Neutral	Hip_hop	Vodka	Coca_Cola/Pepsi	F
Warm	Rock	Wine	Coca_Cola/Pepsi	F
Warm	Folk/Traditional	Whiskey	Fanta	F
Cool	Rock	Vodka	Coca_Cola/Pepsi	F
Warm	Jazz/Blues	Doesn't_drink	Fanta	F
Cool	Pop	Beer	Coca_Cola/Pepsi	F
Warm	Pop	Whiskey	Fanta	F
Warm	Rock	Other	7UP/Sprite	F
Neutral	Pop	Wine	Coca_Cola/Pepsi	F
Cool	Pop	Other	7UP/Sprite	F
Warm	Pop	Other	7UP/Sprite	F
Warm	Pop	Wine	7UP/Sprite	F
Warm	Electronic	Wine	Coca_Cola/Pepsi	F
Cool	Rock	Beer	Coca_Cola/Pepsi	F
Warm	Jazz/Blues	Wine	Coca_Cola/Pepsi	F
Cool	Pop	Wine	7UP/Sprite	F
Cool	Rock	Other	Coca_Cola/Pepsi	F
Cool	Rock	Other	Coca_Cola/Pepsi	F
Cool	Pop	Doesn't_drink	7UP/Sprite	F
Cool	Pop	Beer	Fanta	F
Warm	Jazz/Blues	Whiskey	Fanta	F
Cool	Rock	Vodka	Coca_Cola/Pepsi	F
Warm	Pop	Other	Coca_Cola/Pepsi	F
Cool	Folk/Traditional	Whiskey	7UP/Sprite	F
Warm	R&B_and_soul	Whiskey	Coca_Cola/Pepsi	F
Cool	Pop	Beer	Other	F
Cool	Pop	Doesn't_drink	Other	F
Cool	Pop	Doesn't_drink	Coca_Cola/Pepsi	F
Cool	Electronic	Doesn't_drink	Fanta	F
Warm	R&B_and_soul	Wine	Other	M
Neutral	Hip_hop	Beer	7UP/Sprite	M
Warm	Electronic	Other	Coca_Cola/Pepsi	M
Neutral	Rock	Doesn't_drink	Coca_Cola/Pepsi	M
Cool	Pop	Other	Fanta	M
Cool	Pop	Whiskey	Fanta	M
Warm	Rock	Vodka	7UP/Sprite	M
Cool	Rock	Vodka	Coca_Cola/Pepsi	M
Neutral	Pop	Doesn't_drink	7UP/Sprite	M
Warm	R&B_and_soul	Doesn't_drink	Coca_Cola/Pepsi	M
Cool	Rock	Wine	7UP/Sprite	M
Cool	Folk/Traditional	Beer	Other	M
Cool	Hip_hop	Beer	Coca_Cola/Pepsi	M
Cool	Hip_hop	Wine	Coca_Cola/Pepsi	M
Cool	R&B_and_soul	Whiskey	7UP/Sprite	M
Cool	Rock	Doesn't_drink	Other	M
Warm	Hip_hop	Beer	Coca_Cola/Pepsi	M
Cool	R&B_and_soul	Doesn't_drink	Coca_Cola/Pepsi	M
Cool	Rock	Doesn't_drink	Coca_Cola/Pepsi	M
Cool	Hip_hop	Doesn't_drink	Other	M
Warm	Rock	Beer	Fanta	M
Cool	Electronic	Doesn't_drink	Fanta	M
Cool	Electronic	Other	Fanta	M
Warm	Folk/Traditional	Other	Fanta	M
Warm	Electronic	Vodka	Fanta	M
Warm	Jazz/Blues	Vodka	Coca_Cola/Pepsi	M
Cool	Pop	Whiskey	Other	M
Cool	Electronic	Whiskey	Coca_Cola/Pepsi	M
Cool	Rock	Vodka	Coca_Cola/Pepsi	M
Cool	Hip_hop	Beer	Coca_Cola/Pepsi	M
Neutral	Hip_hop	Doesn't_drink	Fanta	M
---
Warm	Rock	Other	Coca_Cola/Pepsi	?
Neutral	Rock	Beer	Coca_Cola/Pepsi	?
Cool	R&B_and_soul	Beer	Coca_Cola/Pepsi	?
Cool	Rock	Vodka	Coca_Cola/Pepsi	?
Cool	Hip_hop	Beer	Coca_Cola/Pepsi	?
Neutral	Hip_hop	Doesn't_drink	Fanta	?
Cool	Rock	Wine	Coca_Cola/Pepsi	?
Cool	Electronic	Beer	Coca_Cola/Pepsi	?
